ITEM_ID;UNIT_ALL;UNIT;ENEMY_SET;CAT_1;CAT_2;CAT_3;CAT_4;CAT_5_6;CAT_5;CAT_6;b;PROP_CORR
287;U_251;U_251;ES_35;D_3;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.381;0.736
288;U_251;U_251;;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.08;0.688
289;U_242;;ES_25;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;0.23;0.45
290;U_253;;;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;0.598;0.375
291;U_181;U_181;ES_8;D_3;CAT_2_2;CAT_3_5;1;F_A;F;A;-0.766;0.639
292;U_181;U_181;;D_3;CAT_2_2;CAT_3_4;1;F_A;F;A;-0.525;0.597
293;U_129;;;D_2;CAT_2_2;CAT_3_2;1;F_A;F;A;-1.065;0.688
294;U_246;;ES_34;D_2;CAT_2_3;CAT_3_5;0;F_A;F;A;-0.471;0.585
295;U_116;U_116;ES_13;D_2;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.734;0.629
296;U_116;U_116;;D_2;CAT_2_2;CAT_3_2;0;F_A;F;A;0.15;0.469
297;U_167;U_167;ES_35;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;0.517;0.413
298;U_167;U_167;;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.015;0.505
299;U_167;U_167;;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.444;0.74
300;U_216;;ES_40;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.277;0.526
301;U_170;U_170;ES_4;D_3;CAT_2_2;CAT_3_5;1;F_A;F;A;-0.244;0.541
302;U_170;U_170;;D_3;CAT_2_2;CAT_3_2;1;F_A;F;A;0.248;0.455
303;U_74;U_74;ES_38;D_1;CAT_2_2;CAT_3_5;0;F_A;F;A;-0.197;0.538
304;U_74;U_74;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.388;0.572
305;U_243;;;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;0.568;0.409
306;U_161;U_161;ES_12;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.361;0.554
307;U_161;U_161;;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.96;0.658
308;U_161;U_161;;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.347;0.552
309;U_161;U_161;;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;3.162;0.081
310;U_67;;ES_47;D_1;CAT_2_2;CAT_3_4;0;F_A;F;A;-0.387;0.564
311;U_224;;;D_4;CAT_2_1;CAT_3_2;1;F_A;F;A;1.149;0.301
312;U_182;;ES_4;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.784;0.782
313;U_53;;ES_47;D_1;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.683;0.785
314;U_229;;;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;0.334;0.434
315;U_64;;ES_45;D_1;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.173;0.518
316;U_105;;;D_2;CAT_2_1;CAT_3_2;0;G_A;G;A;1.751;0.216
317;U_117;;;D_2;CAT_2_2;CAT_3_1;0;F_A;F;A;1.639;0.216
318;U_160;U_160;;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.96;0.797
319;U_160;U_160;;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.655;0.756
320;U_72;;ES_47;D_1;CAT_2_3;CAT_3_5;0;F_A;F;A;-0.991;0.67
321;U_63;U_63;ES_38;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.366;0.56
322;U_63;U_63;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;0.896;0.339
323;U_1;;ES_30;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.905;0.798
324;U_14;;ES_30;D_4;CAT_2_1;CAT_3_5;1;F_A;F;A;-2.027;0.816
325;U_16;;ES_36;D_4;CAT_2_1;CAT_3_5;1;F_A;F;A;-0.617;0.618
326;U_5;;ES_36;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.488;0.752
327;U_6;;ES_36;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.421;0.732
328;U_7;;;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.961;0.649
329;U_8;;ES_25;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;-1.366;0.725
330;U_3;;ES_25;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.173;0.532
331;U_11;;ES_25;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.355;0.722
332;U_17;;ES_25;D_4;CAT_2_1;CAT_3_1;0;F_A;F;A;0.065;0.501
333;U_10;;ES_13;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-2.34;0.85
334;U_9;;ES_16;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-2.424;0.854
335;U_15;;ES_16;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-2.772;0.898
336;U_2;;;D_2;CAT_2_1;CAT_3_2;0;F_A;F;A;-2.874;0.898
337;U_13;;ES_22;D_2;CAT_2_1;CAT_3_5;0;F_A;F;A;-2.883;0.903
338;U_4;;ES_22;D_2;CAT_2_1;CAT_3_5;0;F_A;F;A;-2.555;0.877
339;U_12;;ES_22;D_2;CAT_2_1;CAT_3_2;1;F_A;F;A;-2.265;0.831
340;U_133;;;D_3;CAT_2_2;CAT_3_2;0;S_B;S;B;1.024;0.489
341;U_210;U_210;ES_19;D_3;CAT_2_2;CAT_3_2;0;S_B;S;B;2.049;0.289
342;U_210;U_210;;D_3;CAT_2_2;CAT_3_2;0;S_B;S;B;3.703;0.095
343;U_212;;;D_4;CAT_2_1;CAT_3_2;1;S_B;S;B;2.462;0.227
344;U_99;;;D_2;CAT_2_1;CAT_3_5;1;S_B;S;B;-0.283;0.734
345;U_149;;;D_3;CAT_2_2;CAT_3_2;1;S_B;S;B;3.169;0.15
346;U_233;;;D_4;CAT_2_1;CAT_3_2;0;S_B;S;B;1.01;0.501
347;U_219;U_219;;D_4;CAT_2_1;CAT_3_2;1;S_B;S;B;3.095;0.158
348;U_219;U_219;;D_4;CAT_2_1;CAT_3_2;1;S_B;S;B;2.99;0.17
349;U_80;U_80;;D_1;CAT_2_2;CAT_3_2;1;S_B;S;B;2.962;0.176
350;U_80;U_80;;D_1;CAT_2_2;CAT_3_2;1;S_B;S;B;4.324;0.062
351;U_121;U_121;;D_2;CAT_2_2;CAT_3_2;1;S_B;S;B;2.46;0.212
352;U_121;U_121;;D_2;CAT_2_2;CAT_3_2;1;S_B;S;B;2.917;0.154
353;U_199;U_199;;D_3;CAT_2_1;CAT_3_2;1;A_BC;A;BC;-0.239;0.607
354;U_199;U_199;;D_3;CAT_2_1;CAT_3_2;1;A_BC;A;BC;2.124;0.212
355;U_205;;ES_32;D_3;CAT_2_1;CAT_3_4;1;A_BC;A;BC;0.203;0.525
356;U_154;;ES_32;D_3;CAT_2_1;CAT_3_4;0;A_BC;A;BC;1.36;0.32
357;U_151;;ES_32;D_3;CAT_2_1;CAT_3_4;1;A_BC;A;BC;0.517;0.47
358;U_211;;ES_32;D_3;CAT_2_1;CAT_3_4;0;A_BC;A;BC;0.962;0.392
359;U_209;;;D_3;CAT_2_1;CAT_3_5;1;A_BC;A;BC;0.227;0.521
360;U_264;;;D_3;CAT_2_1;CAT_3_2;1;A_C;A;C;1.435;0.235
361;U_264;;;D_3;CAT_2_1;CAT_3_2;0;A_C;A;C;2.709;0.099
362;U_264;;;D_3;CAT_2_1;CAT_3_2;0;A_C;A;C;2.301;0.133
363;U_153;;ES_32;D_3;CAT_2_1;CAT_3_4;0;A_BC;A;BC;1.322;0.329
364;U_97;;;D_2;CAT_2_1;CAT_3_5;0;S_B;S;B;-0.217;0.757
365;U_185;;;D_3;CAT_2_1;CAT_3_5;0;S_B;S;B;1.639;0.395
366;U_236;;;D_4;CAT_2_2;CAT_3_2;1;S_B;S;B;3.152;0.163
