ITEM_ID;UNIT_ALL;UNIT;ENEMY_SET;CAT_1;CAT_2;CAT_3;CAT_4;CAT_5_6;CAT_5;CAT_6;b;PROP_CORR
77;U_44;U_44;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;1.075;0.326
78;U_196;U_196;;D_3;CAT_2_1;CAT_3_2;0;S_B;S;B;1.105;0.495
79;U_196;U_196;;D_3;CAT_2_2;CAT_3_5;0;S_B;S;B;1.517;0.418
80;U_141;;;D_3;CAT_2_1;CAT_3_4;1;G_A;G;A;1.737;0.216
81;U_247;;ES_3;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.459;0.59
82;U_50;;ES_47;D_1;CAT_2_1;CAT_3_4;0;F_A;F;A;-0.469;0.578
83;U_145;;;D_3;CAT_2_1;CAT_3_5;1;G_A;G;A;-0.125;0.516
84;U_235;;;D_4;CAT_2_1;CAT_3_2;1;F_A;F;A;2.225;0.151
85;U_82;;ES_47;D_1;CAT_2_2;CAT_3_4;0;F_A;F;A;-1.462;0.748
86;U_40;U_40;;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.041;0.681
87;U_40;U_40;;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.033;0.679
88;U_40;U_40;;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.643;0.616
89;U_79;U_79;ES_48;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-2.441;0.859
90;U_79;U_79;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.144;0.528
91;U_119;;ES_34;D_2;CAT_2_3;CAT_3_1;0;F_A;F;A;2.248;0.166
92;U_52;U_52;ES_47;D_1;CAT_2_1;CAT_3_2;0;F_A;F;A;-1.66;0.772
93;U_52;U_52;;D_1;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.97;0.666
94;U_52;U_52;;D_1;CAT_2_1;CAT_3_5;0;F_A;F;A;-2.579;0.876
95;U_152;;ES_31;D_3;CAT_2_1;CAT_3_4;0;G_A;G;A;0.217;0.46
96;U_215;;ES_40;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.688;0.781
97;U_42;;ES_15;D_4;CAT_2_1;CAT_3_4;0;F_A;F;A;2.297;0.145
